y,age,campaign,pdays,cons_conf_idx,nr_employed,job,marital,education,default,housing,contact,month,day_of_week,poutcome
0,54,2,999,-36.4,5191.0,technician,single,university degree,unknown,no,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,unknown,married,university degree,unknown,no,telephone,may,mon,nonexistent
0,46,1,999,-36.4,5191.0,admin,married,unknown,no,no,telephone,may,mon,nonexistent
0,59,1,999,-36.4,5191.0,technician,married,unknown,no,yes,telephone,may,mon,nonexistent
0,49,1,999,-36.4,5191.0,blue-collar,married,unknown,no,no,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,management,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,blue-collar,divorced,basic,no,no,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,unknown,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,52,1,999,-36.4,5191.0,technician,married,basic,no,yes,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,technician,married,basic,no,yes,telephone,may,mon,nonexistent
0,58,1,999,-36.4,5191.0,management,unknown,university degree,no,yes,telephone,may,mon,nonexistent
0,32,1,999,-36.4,5191.0,entrepreneur,married,high school,no,yes,telephone,may,mon,nonexistent
0,38,1,999,-36.4,5191.0,admin,single,professional course,no,no,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,admin,married,university degree,no,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,admin,married,university degree,unknown,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,technician,single,professional course,unknown,no,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,45,2,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,admin,married,high school,no,no,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,housemaid,married,basic,no,no,telephone,may,mon,nonexistent
0,60,1,999,-36.4,5191.0,admin,married,high school,no,no,telephone,may,mon,nonexistent
0,53,1,999,-36.4,5191.0,admin,single,professional course,no,no,telephone,may,mon,nonexistent
0,55,2,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,technician,married,professional course,unknown,yes,telephone,may,mon,nonexistent
0,50,1,999,-36.4,5191.0,management,married,university degree,unknown,no,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,services,married,high school,unknown,yes,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,unemployed,married,professional course,unknown,yes,telephone,may,mon,nonexistent
0,25,1,999,-36.4,5191.0,technician,single,university degree,no,yes,telephone,may,mon,nonexistent
0,47,1,999,-36.4,5191.0,entrepreneur,married,university degree,unknown,no,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,48,1,999,-36.4,5191.0,admin,married,high school,no,no,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,admin,married,university degree,no,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,blue-collar,single,basic,no,yes,telephone,may,mon,nonexistent
0,33,1,999,-36.4,5191.0,admin,married,unknown,no,yes,telephone,may,mon,nonexistent
0,56,2,999,-36.4,5191.0,admin,married,basic,no,yes,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,blue-collar,single,basic,unknown,yes,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,management,married,basic,no,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,management,divorced,university degree,no,yes,telephone,may,mon,nonexistent
0,47,1,999,-36.4,5191.0,admin,married,university degree,unknown,yes,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,unknown,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,admin,married,university degree,unknown,yes,telephone,may,mon,nonexistent
1,41,1,999,-36.4,5191.0,blue-collar,divorced,basic,unknown,yes,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,technician,married,university degree,no,no,telephone,may,mon,nonexistent
0,33,2,999,-36.4,5191.0,services,married,high school,unknown,yes,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,management,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,50,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,38,2,999,-36.4,5191.0,admin,married,high school,unknown,no,telephone,may,mon,nonexistent
1,49,1,999,-36.4,5191.0,entrepreneur,married,university degree,unknown,yes,telephone,may,mon,nonexistent
0,38,1,999,-36.4,5191.0,technician,single,university degree,no,no,telephone,may,mon,nonexistent
0,31,1,999,-36.4,5191.0,admin,divorced,high school,no,no,telephone,may,mon,nonexistent
0,41,2,999,-36.4,5191.0,management,married,basic,no,no,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
1,49,1,999,-36.4,5191.0,technician,married,basic,no,no,telephone,may,mon,nonexistent
0,34,2,999,-36.4,5191.0,admin,married,high school,no,yes,telephone,may,mon,nonexistent
0,35,2,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,unknown,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,60,2,999,-36.4,5191.0,admin,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,33,1,999,-36.4,5191.0,unemployed,married,basic,no,no,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,services,married,professional course,no,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,management,married,university degree,no,no,telephone,may,mon,nonexistent
0,53,1,999,-36.4,5191.0,admin,divorced,university degree,unknown,no,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,technician,single,professional course,no,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,services,married,unknown,no,yes,telephone,may,mon,nonexistent
0,49,3,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,services,married,unknown,no,no,telephone,may,mon,nonexistent
0,52,1,999,-36.4,5191.0,admin,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,52,1,999,-36.4,5191.0,admin,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,services,single,high school,unknown,no,telephone,may,mon,nonexistent
0,34,2,999,-36.4,5191.0,housemaid,married,basic,no,yes,telephone,may,mon,nonexistent
0,35,2,999,-36.4,5191.0,admin,married,high school,no,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,entrepreneur,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,technician,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,60,1,999,-36.4,5191.0,retired,divorced,university degree,unknown,no,telephone,may,mon,nonexistent
0,58,2,999,-36.4,5191.0,unemployed,married,basic,unknown,no,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,services,divorced,high school,no,yes,telephone,may,mon,nonexistent
0,55,2,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,37,2,999,-36.4,5191.0,management,married,university degree,no,no,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,blue-collar,married,high school,no,no,telephone,may,mon,nonexistent
0,52,2,999,-36.4,5191.0,admin,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,blue-collar,divorced,unknown,unknown,yes,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,admin,married,unknown,no,yes,telephone,may,mon,nonexistent
0,48,1,999,-36.4,5191.0,blue-collar,divorced,basic,unknown,yes,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,blue-collar,married,high school,unknown,yes,telephone,may,mon,nonexistent
0,49,1,999,-36.4,5191.0,blue-collar,divorced,high school,no,no,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,technician,married,high school,no,yes,telephone,may,mon,nonexistent
0,32,1,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,42,2,999,-36.4,5191.0,admin,married,university degree,no,no,telephone,may,mon,nonexistent
0,50,1,999,-36.4,5191.0,admin,married,basic,no,no,telephone,may,mon,nonexistent
0,31,1,999,-36.4,5191.0,technician,divorced,professional course,no,yes,telephone,may,mon,nonexistent
0,56,2,999,-36.4,5191.0,retired,married,basic,no,yes,telephone,may,mon,nonexistent
1,41,1,999,-36.4,5191.0,technician,married,professional course,unknown,yes,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,technician,married,professional course,unknown,no,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,blue-collar,married,unknown,no,yes,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,52,1,999,-36.4,5191.0,management,married,university degree,no,no,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,management,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,39,2,999,-36.4,5191.0,housemaid,married,basic,unknown,no,telephone,may,mon,nonexistent
0,56,2,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,34,2,999,-36.4,5191.0,services,married,high school,no,yes,telephone,may,mon,nonexistent
1,45,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,unemployed,single,university degree,no,yes,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,management,married,unknown,no,yes,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,management,married,university degree,no,yes,telephone,may,mon,nonexistent
0,53,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,38,1,999,-36.4,5191.0,unknown,divorced,high school,unknown,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,admin,single,high school,no,yes,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,admin,married,university degree,unknown,yes,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,60,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,entrepreneur,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,services,divorced,high school,unknown,yes,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,entrepreneur,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,blue-collar,married,unknown,no,yes,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,blue-collar,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,blue-collar,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,43,2,999,-36.4,5191.0,technician,single,professional course,no,yes,telephone,may,mon,nonexistent
0,59,2,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,24,2,999,-36.4,5191.0,management,single,university degree,no,yes,telephone,may,mon,nonexistent
0,37,2,999,-36.4,5191.0,blue-collar,single,basic,unknown,yes,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,42,3,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,services,divorced,high school,unknown,no,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,entrepreneur,married,basic,no,no,telephone,may,mon,nonexistent
0,38,1,999,-36.4,5191.0,services,married,high school,no,yes,telephone,may,mon,nonexistent
0,56,2,999,-36.4,5191.0,admin,divorced,unknown,unknown,no,telephone,may,mon,nonexistent
0,40,2,999,-36.4,5191.0,blue-collar,married,unknown,no,no,telephone,may,mon,nonexistent
0,54,2,999,-36.4,5191.0,management,divorced,university degree,no,yes,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,blue-collar,married,high school,unknown,no,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,services,married,high school,unknown,no,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,technician,married,university degree,no,yes,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,admin,single,university degree,unknown,no,telephone,may,mon,nonexistent
0,43,3,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,46,2,999,-36.4,5191.0,management,married,basic,no,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,services,married,high school,no,yes,telephone,may,mon,nonexistent
0,51,2,999,-36.4,5191.0,admin,single,basic,no,no,telephone,may,mon,nonexistent
0,28,1,999,-36.4,5191.0,services,married,high school,no,yes,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,technician,married,high school,no,no,telephone,may,mon,nonexistent
0,46,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
1,42,2,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,36,3,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,57,1,999,-36.4,5191.0,management,married,university degree,no,no,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,technician,married,basic,unknown,no,telephone,may,mon,nonexistent
0,54,1,999,-36.4,5191.0,retired,married,high school,unknown,no,telephone,may,mon,nonexistent
0,49,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,admin,married,university degree,no,yes,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,technician,married,professional course,no,no,telephone,may,mon,nonexistent
0,38,2,999,-36.4,5191.0,blue-collar,single,basic,no,yes,telephone,may,mon,nonexistent
0,45,2,999,-36.4,5191.0,management,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,42,2,999,-36.4,5191.0,technician,married,university degree,no,no,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,blue-collar,single,basic,unknown,yes,telephone,may,mon,nonexistent
0,48,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,37,1,999,-36.4,5191.0,admin,married,high school,unknown,yes,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,blue-collar,single,basic,unknown,no,telephone,may,mon,nonexistent
0,40,2,999,-36.4,5191.0,admin,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,33,2,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,32,1,999,-36.4,5191.0,services,single,basic,no,no,telephone,may,mon,nonexistent
0,39,2,999,-36.4,5191.0,blue-collar,married,high school,no,yes,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,admin,married,unknown,no,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,student,single,university degree,unknown,no,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,student,single,university degree,unknown,yes,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,unemployed,married,professional course,no,no,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,services,single,basic,no,no,telephone,may,mon,nonexistent
0,35,1,999,-36.4,5191.0,student,single,university degree,unknown,yes,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,student,single,basic,no,yes,telephone,may,mon,nonexistent
0,55,1,999,-36.4,5191.0,housemaid,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,59,1,999,-36.4,5191.0,admin,married,university degree,no,no,telephone,may,mon,nonexistent
0,57,2,999,-36.4,5191.0,retired,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,blue-collar,married,professional course,unknown,yes,telephone,may,mon,nonexistent
0,39,2,999,-36.4,5191.0,housemaid,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,30,1,999,-36.4,5191.0,blue-collar,single,unknown,no,yes,telephone,may,mon,nonexistent
0,30,1,999,-36.4,5191.0,blue-collar,single,unknown,no,yes,telephone,may,mon,nonexistent
0,50,1,999,-36.4,5191.0,housemaid,married,basic,unknown,no,telephone,may,mon,nonexistent
0,40,3,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,35,2,999,-36.4,5191.0,admin,married,high school,no,yes,telephone,may,mon,nonexistent
0,43,2,999,-36.4,5191.0,technician,married,unknown,unknown,no,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,services,single,basic,unknown,yes,telephone,may,mon,nonexistent
0,46,1,999,-36.4,5191.0,technician,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,technician,married,basic,no,no,telephone,may,mon,nonexistent
0,58,1,999,-36.4,5191.0,retired,married,university degree,no,no,telephone,may,mon,nonexistent
0,42,2,999,-36.4,5191.0,technician,married,university degree,no,no,telephone,may,mon,nonexistent
0,35,2,999,-36.4,5191.0,admin,single,university degree,no,no,telephone,may,mon,nonexistent
0,43,3,999,-36.4,5191.0,retired,married,basic,unknown,no,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,39,2,999,-36.4,5191.0,admin,married,professional course,no,yes,telephone,may,mon,nonexistent
0,50,1,999,-36.4,5191.0,services,divorced,professional course,no,yes,telephone,may,mon,nonexistent
0,32,2,999,-36.4,5191.0,management,divorced,basic,unknown,yes,telephone,may,mon,nonexistent
0,39,1,999,-36.4,5191.0,admin,married,high school,unknown,no,telephone,may,mon,nonexistent
0,52,1,999,-36.4,5191.0,self-employed,married,university degree,unknown,no,telephone,may,mon,nonexistent
0,44,1,999,-36.4,5191.0,admin,married,professional course,no,yes,telephone,may,mon,nonexistent
0,56,1,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,48,2,999,-36.4,5191.0,admin,married,high school,no,no,telephone,may,mon,nonexistent
0,33,2,999,-36.4,5191.0,services,married,high school,unknown,no,telephone,may,mon,nonexistent
0,43,3,999,-36.4,5191.0,management,married,university degree,unknown,no,telephone,may,mon,nonexistent
0,57,2,999,-36.4,5191.0,retired,married,high school,no,no,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,technician,single,professional course,no,no,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,management,married,university degree,no,yes,telephone,may,mon,nonexistent
0,34,2,999,-36.4,5191.0,services,single,basic,no,no,telephone,may,mon,nonexistent
0,30,1,999,-36.4,5191.0,technician,married,university degree,unknown,no,telephone,may,mon,nonexistent
0,33,2,999,-36.4,5191.0,services,divorced,unknown,no,no,telephone,may,mon,nonexistent
0,32,1,999,-36.4,5191.0,technician,single,professional course,no,no,telephone,may,mon,nonexistent
0,36,2,999,-36.4,5191.0,technician,single,high school,no,yes,telephone,may,mon,nonexistent
0,36,1,999,-36.4,5191.0,blue-collar,single,high school,no,no,telephone,may,mon,nonexistent
0,33,1,999,-36.4,5191.0,services,single,high school,no,no,telephone,may,mon,nonexistent
0,40,1,999,-36.4,5191.0,technician,divorced,professional course,no,no,telephone,may,mon,nonexistent
0,41,1,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,51,1,999,-36.4,5191.0,services,married,basic,no,yes,telephone,may,mon,nonexistent
0,36,3,999,-36.4,5191.0,technician,married,professional course,no,yes,telephone,may,mon,nonexistent
0,28,2,999,-36.4,5191.0,services,married,unknown,no,no,telephone,may,mon,nonexistent
0,53,3,999,-36.4,5191.0,services,married,high school,no,yes,telephone,may,mon,nonexistent
0,58,2,999,-36.4,5191.0,blue-collar,married,basic,unknown,yes,telephone,may,mon,nonexistent
0,45,1,999,-36.4,5191.0,management,married,basic,no,no,telephone,may,mon,nonexistent
0,43,1,999,-36.4,5191.0,technician,married,unknown,no,yes,telephone,may,mon,nonexistent
0,33,1,999,-36.4,5191.0,admin,married,high school,no,no,telephone,may,mon,nonexistent
0,33,1,999,-36.4,5191.0,admin,married,high school,no,no,telephone,may,mon,nonexistent
0,27,1,999,-36.4,5191.0,blue-collar,single,basic,no,no,telephone,may,mon,nonexistent
0,42,1,999,-36.4,5191.0,technician,married,high school,no,no,telephone,may,mon,nonexistent
0,43,3,999,-36.4,5191.0,admin,divorced,basic,no,no,telephone,may,mon,nonexistent
0,42,2,999,-36.4,5191.0,admin,married,university degree,no,no,telephone,may,mon,nonexistent
0,27,1,999,-36.4,5191.0,blue-collar,single,basic,no,no,telephone,may,mon,nonexistent
0,34,2,999,-36.4,5191.0,self-employed,single,university degree,no,yes,telephone,may,mon,nonexistent
0,31,2,999,-36.4,5191.0,student,single,university degree,unknown,no,telephone,may,mon,nonexistent
0,54,2,999,-36.4,5191.0,management,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,40,3,999,-36.4,5191.0,self-employed,married,basic,unknown,no,telephone,may,mon,nonexistent
0,52,1,999,-36.4,5191.0,unemployed,married,high school,unknown,yes,telephone,may,mon,nonexistent
0,47,2,999,-36.4,5191.0,management,divorced,university degree,no,no,telephone,may,mon,nonexistent
0,49,1,999,-36.4,5191.0,housemaid,married,basic,unknown,no,telephone,may,mon,nonexistent
0,32,2,999,-36.4,5191.0,admin,single,high school,no,no,telephone,may,mon,nonexistent
0,49,2,999,-36.4,5191.0,housemaid,single,high school,unknown,yes,telephone,may,mon,nonexistent
0,50,1,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,34,1,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,55,2,999,-36.4,5191.0,blue-collar,married,basic,unknown,no,telephone,may,mon,nonexistent
0,47,4,999,-36.4,5191.0,technician,single,basic,no,no,telephone,may,mon,nonexistent
0,51,3,999,-36.4,5191.0,retired,married,professional course,no,no,telephone,may,mon,nonexistent
0,47,2,999,-36.4,5191.0,blue-collar,married,basic,no,no,telephone,may,mon,nonexistent
0,56,3,999,-36.4,5191.0,technician,married,basic,no,yes,telephone,may,mon,nonexistent
0,53,3,999,-36.4,5191.0,admin,married,basic,no,no,telephone,may,mon,nonexistent
0,36,2,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,42,2,999,-36.4,5191.0,blue-collar,divorced,basic,no,yes,telephone,may,mon,nonexistent
0,44,2,999,-36.4,5191.0,blue-collar,divorced,basic,no,no,telephone,may,mon,nonexistent
1,39,3,999,-36.4,5191.0,housemaid,married,basic,no,yes,telephone,may,mon,nonexistent
0,37,2,999,-36.4,5191.0,admin,single,high school,no,yes,telephone,may,mon,nonexistent
0,60,2,999,-36.4,5191.0,blue-collar,married,unknown,unknown,yes,telephone,may,mon,nonexistent
0,36,2,999,-36.4,5191.0,services,married,high school,no,no,telephone,may,mon,nonexistent
0,42,2,999,-36.4,5191.0,management,divorced,university degree,no,yes,telephone,may,mon,nonexistent
0,31,2,999,-36.4,5191.0,admin,married,high school,no,yes,telephone,may,mon,nonexistent
0,53,2,999,-36.4,5191.0,technician,divorced,professional course,unknown,no,telephone,may,mon,nonexistent
0,45,2,999,-36.4,5191.0,blue-collar,married,basic,no,yes,telephone,may,mon,nonexistent
0,37,2,999,-36.4,5191.0,technician,single,professional course,no,yes,telephone,may,mon,nonexistent
